,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SUPT16H,2028.6415696232434,-0.17898609825977244,0.0322879886759743,-5.543426692073798,2.9660888476285687e-08,0.00011077563032836892
HBB,1278.967416175176,1.1405506713449511,0.21020264681266174,5.425957706238783,5.764460863508239e-08,0.00011077563032836892
LMTK3,66.97242081760372,0.8577105083137184,0.1567636351719353,5.471361437702042,4.465914396276104e-08,0.00011077563032836892
RABEP1,2290.7370769342333,-0.1874438965738938,0.03455432269729547,-5.424614981342546,5.807959370917236e-08,0.00011077563032836892
RTN2,97.75430898874737,0.451906375447654,0.08352372754037293,5.41051493695867,6.284378088164214e-08,0.00011077563032836892
MST1,57.84949042739311,0.4728538617272937,0.08666168893018833,5.456319482859473,4.861049756118647e-08,0.00011077563032836892
HYAL3,45.00900763438934,0.42421838415873986,0.07812098865277557,5.430274135984936,5.6267551530767505e-08,0.00011077563032836892
CTR9,1686.9942969288145,-0.1600785444469142,0.02993611347984898,-5.347338910732969,8.925679039386439e-08,0.00011676025574002155
CACNA1A,119.17949360719791,1.5936198636634744,0.2986123863009163,5.336750706842948,9.462700035661038e-08,0.00011676025574002155
TTF1,770.1244729144497,-0.1930043757412547,0.03594817845431295,-5.368961211387851,7.919144770127669e-08,0.00011676025574002155
NRXN2,54.113750442588376,1.2214969591017872,0.23012632434756858,5.30794103006188,1.1087049686319701e-07,0.00012436646007227162
NR2F6,44.894383179353326,0.5284224393170623,0.10099441216884975,5.2321948112694345,1.675090727926052e-07,0.00015899188070676583
HSP90B1,2256.3674529164805,-0.21057384066476287,0.04015114328423814,-5.244529132684159,1.5668194882080547e-07,0.00015899188070676583
COL11A2,51.298120795398845,1.0993059484325147,0.21176940292665408,5.191051838651391,2.091093913961391e-07,0.00017262180777605237
HSD17B1,32.13637259903034,0.614741356894151,0.11871340789834049,5.178365003391875,2.2383895975499134e-07,0.00017262180777605237
ZNF136,952.8721895333802,-0.17427499003352465,0.03362805980696129,-5.18242774141398,2.1901622654905762e-07,0.00017262180777605237
FBXO24,39.69177920171311,0.5389723104951402,0.10602901364541356,5.083253082949472,3.7102480503115976e-07,0.00019367752226958244
DENND6B,48.758443714033746,0.6792862798945579,0.13343817171553363,5.090644387294777,3.5684872079191565e-07,0.00019367752226958244
SMC3,1566.2284645819088,-0.3156097341438475,0.062123452504923495,-5.080363718015098,3.76712904973659e-07,0.00019367752226958244
B4GALT3,382.1665254649773,0.35230893601636154,0.06856267776425677,5.138494404021482,2.769484400015624e-07,0.00019367752226958244
FAM83H,56.2372785237349,0.6921026225270958,0.1357628834811933,5.097878041334987,3.4348198451686533e-07,0.00019367752226958244
CYP4F22,24.998076514727614,0.8923545776264321,0.1744555858309479,5.115081717653613,3.1360515822611997e-07,0.00019367752226958244
HID1,34.707817155984465,0.9188779683635478,0.18053863919950874,5.089647138350915,3.587304166960392e-07,0.00019367752226958244
ITGA7,51.21503867929512,0.8860138210840337,0.17387710809307005,5.095632373928044,3.4757904758960987e-07,0.00019367752226958244
RYR1,114.76395980765358,1.027028382085444,0.2025282249971776,5.071038281700027,3.9565116782684537e-07,0.0001952775903926178
DLGAP1,48.78684079506645,1.1290128073460406,0.2236051176993909,5.04913670564489,4.4381107068827644e-07,0.00019686218481575088
ATP8B3,75.25333366508157,0.598325390597586,0.11852988911753266,5.0478861918473115,4.4672511344849864e-07,0.00019686218481575088
C17orf99,22.828608018917482,0.7144110257817347,0.14120242277911366,5.059481358186785,4.203983737973941e-07,0.00019686218481575088
SMTN,65.36261734459048,0.9098368126761361,0.18087910709002872,5.030082397649632,4.902690974483445e-07,0.0002016476797805041
KNDC1,70.49441100697796,1.0030782798284246,0.199163801108339,5.0364487635119035,4.7424797675093755e-07,0.0002016476797805041
ENSG00000258472,24.893641425492838,0.7499078887101069,0.14928497966749968,5.023331150798735,5.0782871840104e-07,0.00020213221149517524
WDR62,57.37455641907814,0.7795459058687122,0.15546525322523816,5.014277400875588,5.32331402482859e-07,0.00020526366172612492
GOLGB1,4703.261850153259,-0.21464460340290387,0.04296231214892514,-4.996113865074508,5.849712926886033e-07,0.0002187260842571114
CLCN2,41.107100758280716,0.8243374765305651,0.16556232345864944,4.979016114958367,6.390832196114478e-07,0.0002226179734668443
SLC7A5,199.49531064891931,0.5885731165830262,0.1182851363871134,4.975883991516862,6.495053930469564e-07,0.0002226179734668443
GPRC5C,36.11909572998566,1.0528908513317075,0.21147479141059222,4.978800755913506,6.397946383918867e-07,0.0002226179734668443
WDR90,115.25478496997091,0.667763152703663,0.13482356909987245,4.95286660308635,7.312810824222637e-07,0.00023655803153128268
GOLGA4,3785.445484205116,-0.26693196429074073,0.053882211530146634,-4.953990504665804,7.270675581796355e-07,0.00023655803153128268
DECR2,41.8921256536259,0.5521357947190938,0.1115753123432526,4.948548053537971,7.476913226128556e-07,0.00023655803153128268
CDC5L,2154.2034464276007,-0.24940566208783738,0.050680950967323814,-4.921092783926646,8.606231525110625e-07,0.00024213056482199534
ZNF703,52.49854196089001,0.7071146477654856,0.14332291183166276,4.933716729088046,8.067942588071992e-07,0.00024213056482199534
PIP5KL1,36.48522405390755,0.5888806130209958,0.11936459566484812,4.93346129764017,8.078505541018444e-07,0.00024213056482199534
SEMA6B,39.53080453994109,0.8476578144291632,0.1722464563458093,4.9211916019181805,8.601886600203275e-07,0.00024213056482199534
PLXNB1,49.78106334950574,0.9540825306947692,0.19390117384115807,4.920457735218995,8.634204434855171e-07,0.00024213056482199534
